eventid,extended,enc_country,enc_region,enc_province,latitude,longitude,specificity,vicinity,doubtterr,multiple,success,suicide,enc_attacktype,enc_target,enc_nationality,enc_group,guncertain1,individual,enc_weapon_type,enc_weapon_subtype,killed,wounded,property,hostages/kidnapping,ransom,cross_border,ideological_international,INT_MISC,attack_date,unique_id,enc_city,enc_target_type,enc_target_subtype,enc_target_entity
198101210010,0,61,2,795,,,5.0,0,0.0,0.0,1,0,0,3,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-21,63,1550,12,73,8931
198101210011,0,61,2,795,13.716667,-89.233333,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-21,64,5752,9,50,7354
198101210012,0,61,2,465,13.66667,-89.26667,1.0,0,0.0,0.0,1,0,0,14,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,1.0,0.0,0,0,0,1981-01-21,65,6004,13,107,11788
198101210013,0,61,2,796,13.536845,-88.779992,1.0,0,0.0,0.0,1,0,0,14,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,1.0,0.0,0,0,0,1981-01-21,66,3469,13,107,11637
198101210014,0,61,2,796,13.702621,-88.727772,1.0,0,0.0,0.0,1,0,0,14,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,1.0,0.0,0,0,0,1981-01-21,67,5995,13,107,11787
198101210015,0,185,8,105,43.090476,-2.31322,1.0,0,0.0,0.0,1,0,2,21,127,Basque Fatherland and Freedom (ETA),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,1,0,1981-01-21,68,7231,20,17,13591
198101230003,0,45,3,922,,,5.0,0,0.0,0.0,1,0,0,14,24,Revolutionary Armed Forces of Colombia (FARC),0.0,0,4,2.0,3.0,0.0,1,1.0,0.0,0,0,0,1981-01-23,70,160,13,107,11483
198101240001,0,603,8,661,54.607712,-5.95621,1.0,0,1.0,0.0,1,0,1,4,46,Irish Republican Army (IRA),0.0,0,4,3.0,1.0,0.0,0,0.0,0.0,0,0,1,1981-01-24,72,701,9,47,3274
198101250003,0,61,2,206,14.09396,-88.889278,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-25,75,3707,9,50,7363
198101250004,0,61,2,206,13.974068,-88.851503,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-25,76,5819,9,50,7363
198101250005,0,61,2,922,,,5.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-25,77,3895,9,50,7363
198101250006,0,61,2,206,14.091943,-88.747054,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-01-25,78,348,9,50,7363
198101260002,0,45,3,801,7.060051,-73.853115,3.0,0,0.0,1.0,1,0,2,21,24,Revolutionary Armed Forces of Colombia (FARC),1.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-01-26,80,627,20,60,1678
198101260003,0,45,3,801,7.060051,-73.853115,3.0,0,0.0,1.0,1,0,2,21,24,Revolutionary Armed Forces of Colombia (FARC),1.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-01-26,81,627,20,60,1678
198101260004,0,603,8,661,54.607712,-5.95621,1.0,0,0.0,0.0,1,0,2,19,46,Irish Republican Army (IRA),0.0,0,2,16.0,,,1,0.0,0.0,0,0,1,1981-01-26,82,701,18,104,11851
198101260005,0,603,8,661,54.600305,-7.298402,1.0,0,0.0,0.0,1,0,2,14,46,Irish Republican Army (IRA),0.0,0,2,16.0,,,1,0.0,0.0,0,0,1,1981-01-26,83,4800,13,105,15384
198101260006,0,603,8,661,55.011562,-7.312045,1.0,0,0.0,0.0,1,0,2,14,46,Irish Republican Army (IRA),0.0,0,2,16.0,,,1,0.0,0.0,0,0,1,1981-01-26,84,3844,13,105,15384
198101260007,0,603,8,661,54.347539,-6.656108,1.0,0,0.0,0.0,1,0,2,14,46,Irish Republican Army (IRA),0.0,0,2,16.0,,,1,0.0,0.0,0,0,1,1981-01-26,85,369,13,105,15384
198101260008,0,603,8,661,54.253718,-7.44106,1.0,0,0.0,0.0,1,0,2,14,46,Irish Republican Army (IRA),0.0,0,2,16.0,,,1,0.0,0.0,0,0,1,1981-01-26,86,3789,13,105,15384
198101260009,0,603,8,661,54.42071,-6.443767,1.0,0,0.0,0.0,1,0,2,1,46,Irish Republican Army (IRA),0.0,0,2,15.0,0.0,12.0,1,0.0,0.0,0,0,1,1981-01-26,87,5231,2,90,13710
198101260010,0,603,8,661,54.607712,-5.95621,1.0,0,0.0,0.0,1,0,3,1,46,Irish Republican Army (IRA),0.0,0,5,,0.0,3.0,1,0.0,0.0,0,0,1,1981-01-26,88,701,2,-1,15520
198101260018,0,603,8,661,54.607712,-5.95621,1.0,0,0.0,0.0,1,0,2,1,46,Irish Republican Army (IRA),0.0,0,4,5.0,,,1,0.0,0.0,0,0,1,1981-01-26,93,701,2,90,13907
198101280003,0,97,10,199,32.380464,34.875466,1.0,0,-9.0,0.0,1,0,3,19,63,Palestinians,0.0,0,5,,0.0,0.0,1,0.0,0.0,1,0,0,1981-01-28,101,3225,18,104,9605
198102020001,0,61,2,795,13.808917,-89.228637,1.0,0,0.0,0.0,1,0,2,21,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,,,1,0.0,0.0,0,0,0,1981-02-02,108,4641,20,17,3826
198102020002,0,61,2,795,,,5.0,0,0.0,0.0,1,0,2,21,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,,,1,0.0,0.0,0,0,0,1981-02-02,109,4188,20,17,3851
198102030004,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,2,21,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,110,5955,20,17,3851
198102030005,0,61,2,795,13.716667,-89.233333,1.0,0,0.0,0.0,1,0,2,21,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,111,5752,20,17,3826
198102030006,0,61,2,795,13.749885,-89.199936,1.0,0,0.0,0.0,1,0,2,21,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,112,454,20,17,3851
198102030007,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,2,1,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,113,5955,2,-1,2176
198102030008,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,3,1,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,114,5955,2,24,4538
198102030009,0,61,2,798,13.981479,-89.555717,1.0,0,0.0,0.0,1,0,3,1,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,115,5990,2,24,4534
198102030010,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,2,1,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,116,5955,2,-1,2176
198102030012,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,2,2,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,,,1,0.0,0.0,0,0,0,1981-02-03,117,5955,6,25,7481
198102030013,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,2,2,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,118,5955,6,36,11106
198102030014,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,0,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,119,5955,18,8,2096
198102030015,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,0,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,120,5955,18,8,2096
198102030016,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,0,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-03,121,5955,18,8,2096
198102030017,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,2,1,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,,,1,0.0,0.0,0,0,0,1981-02-03,122,5955,2,-1,2178
198102040005,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,0,7,50,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,2.0,0.0,1,0.0,0.0,0,1,1,1981-02-04,124,5955,5,18,4856
198102050004,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,2,1,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-05,126,5955,2,53,10606
198102050009,0,61,2,468,13.3,-87.866667,1.0,0,0.0,0.0,1,0,0,14,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,45.0,0.0,1,0.0,0.0,0,0,0,1981-02-05,129,1576,13,107,2766
198102060002,0,603,8,661,54.607712,-5.95621,1.0,0,0.0,0.0,1,0,0,3,46,Irish Republican Army (IRA),0.0,0,4,5.0,1.0,0.0,0,0.0,0.0,0,0,1,1981-02-06,131,701,12,73,12400
198102060012,0,61,2,794,13.491242,-88.173134,1.0,0,0.0,0.0,1,0,2,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,,,1,0.0,0.0,0,0,0,1981-02-06,134,5903,18,7,3710
198102060013,0,61,2,794,13.491242,-88.173134,1.0,0,0.0,0.0,1,0,2,21,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,,,1,0.0,0.0,0,0,0,1981-02-06,135,5903,20,17,3777
198102070005,0,97,10,402,31.771599,35.2034,1.0,0,-9.0,0.0,1,0,2,14,63,Palestinians,0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,1,0,0,1981-02-07,138,3001,13,106,9305
198102070008,0,96,8,267,55.189074,-7.040507,1.0,1,0.0,0.0,1,0,6,11,46,Irish Republican Army (IRA),0.0,0,2,16.0,0.0,0.0,1,1.0,0.0,1,0,1,1981-02-07,139,4476,8,10,2033
198102070010,0,155,10,320,31.502407,34.459743,1.0,0,1.0,0.0,0,0,2,4,63,Palestinians,0.0,0,2,7.0,2.0,19.0,1,0.0,0.0,0,0,0,1981-02-07,141,2382,9,49,7323
198102080001,0,83,2,292,14.2308,-90.9472,1.0,0,0.0,0.0,1,0,1,2,50,Death Squad,0.0,0,4,2.0,1.0,0.0,0,0.0,0.0,-9,-9,0,1981-02-08,142,3462,6,75,7649
198102080003,0,43,3,802,-33.366238,-70.505302,1.0,0,0.0,0.0,1,0,3,1,22,Movement of the Revolutionary Left (MIR) (Chile),1.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-08,144,6033,2,19,3534
198102090005,0,185,8,190,42.687345,-2.947593,1.0,0,0.0,0.0,1,0,2,21,127,Basque Fatherland and Freedom (ETA),1.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,1,0,1981-02-09,148,4348,20,17,3807
198102090006,0,45,3,134,4.667128,-74.106056,1.0,0,0.0,0.0,1,0,5,10,64,M-19 (Movement of April 19),0.0,0,4,2.0,0.0,0.0,1,1.0,0.0,0,1,1,1981-02-09,149,848,7,58,-1
198102090007,0,61,2,925,13.43204,-88.592239,1.0,0,0.0,0.0,1,0,0,17,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,0.0,13.0,1,0.0,0.0,0,0,0,1981-02-09,150,5741,16,59,7415
198102090016,0,61,2,245,13.871449,-89.037439,1.0,0,0.0,0.0,1,0,2,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,18.0,23.0,1,0.0,0.0,0,0,0,1981-02-09,152,3441,18,8,2096
198102090017,0,61,2,245,13.871389,-89.375,1.0,0,0.0,0.0,1,0,2,1,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,2,16.0,18.0,24.0,1,0.0,0.0,0,0,0,1981-02-09,153,744,2,-1,11929
198102100003,0,43,3,936,-33.010693,-71.527794,1.0,0,0.0,0.0,1,0,3,1,22,Movement of the Revolutionary Left (MIR) (Chile),1.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-10,155,6983,2,29,5342
198102100004,0,97,10,922,,,5.0,0,0.0,0.0,0,0,2,1,63,Palestinians,0.0,0,2,16.0,0.0,0.0,0,0.0,0.0,1,0,0,1981-02-10,156,6215,2,89,13452
198102100007,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,3,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-10,158,5955,18,8,2727
198102100008,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,3,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-10,159,5955,18,8,2727
198102100009,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,3,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-10,160,5955,18,8,2727
198102100010,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,3,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-10,161,5955,18,8,2727
198102100011,0,61,2,795,13.69288,-89.199161,1.0,0,0.0,0.0,1,0,3,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,5,,0.0,2.0,1,0.0,0.0,0,0,0,1981-02-10,162,5955,18,8,2727
198102100013,0,155,10,957,31.907141,35.198219,1.0,0,-9.0,0.0,1,0,0,14,63,Palestinians,0.0,0,5,,,,1,0.0,0.0,0,0,0,1981-02-10,164,5460,13,106,14440
198102100016,0,603,8,661,55.011562,-7.312045,1.0,0,1.0,0.0,1,0,1,4,99,Irish Republican Army (IRA),0.0,0,4,5.0,1.0,,0,0.0,0.0,0,0,1,1981-02-10,166,3844,9,47,3367
198102120001,0,61,2,-1,13.716943,-89.229126,1.0,0,0.0,0.0,1,0,0,14,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,1.0,0.0,0,0,0,1981-02-12,167,5955,13,107,11634
198102120002,0,61,2,794,13.43722,-88.22861,1.0,0,0.0,0.0,1,0,0,14,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,1.0,0.0,0,0,0,1981-02-12,168,1969,13,107,11576
198102120003,0,69,8,236,41.918891,8.737554,4.0,0,0.0,0.0,1,0,2,14,42,Corsican National Liberation Front (FLNC),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-12,169,6824,13,107,5652
198102130001,0,43,3,802,-33.366238,-70.505302,1.0,0,0.0,0.0,1,0,2,1,42,Movement of the Revolutionary Left (MIR) (Chile),0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,1,1,1981-02-13,170,6033,2,19,9708
198102130004,0,155,10,957,32.175489,35.336247,1.0,0,0.0,0.0,1,0,2,2,63,Palestinians,0.0,0,2,16.0,0.0,5.0,1,0.0,0.0,0,0,0,1981-02-13,172,691,6,-1,1729
198102130005,0,69,8,707,48.856644,2.34233,1.0,0,0.0,0.0,1,0,2,14,42,Corsican National Liberation Front (FLNC),0.0,0,2,16.0,,,1,0.0,0.0,1,0,0,1981-02-13,173,5026,13,106,108
198102130006,0,69,8,707,48.856644,2.34233,1.0,0,0.0,0.0,1,0,2,18,64,Corsican National Liberation Front (FLNC),0.0,0,2,16.0,,,1,0.0,0.0,1,1,1,1981-02-13,174,5026,17,102,5798
198102130007,0,69,8,707,48.856644,2.34233,1.0,0,0.0,0.0,1,0,2,19,42,Corsican National Liberation Front (FLNC),0.0,0,2,16.0,,,1,0.0,0.0,1,0,0,1981-02-13,175,5026,18,104,1761
198102130009,0,61,2,206,14.091943,-88.747054,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-02-13,176,348,9,50,7354
198102130011,0,61,2,794,13.491242,-88.173134,1.0,0,0.0,0.0,1,0,0,19,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,2.0,0.0,1,0.0,0.0,0,0,0,1981-02-13,177,5903,18,8,2096
198102130012,0,61,2,466,,,5.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-02-13,178,2323,9,50,7354
198102130013,0,61,2,206,14.09396,-88.889278,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-02-13,179,3707,9,50,7354
198102130014,0,61,2,206,13.974068,-88.851503,1.0,0,1.0,0.0,1,0,0,4,39,Farabundo Marti National Liberation Front (FMLN),0.0,0,4,2.0,,,1,0.0,0.0,0,0,0,1981-02-13,180,5819,9,50,7354
198102150001,0,45,3,464,11.544088,-72.90688,1.0,0,0.0,0.0,1,0,1,3,24,Revolutionary Armed Forces of Colombia (FARC),0.0,0,4,2.0,1.0,0.0,0,0.0,0.0,0,0,0,1981-02-15,182,5588,12,73,9005
198102150002,0,45,3,527,11.242035,-74.205384,1.0,0,0.0,0.0,1,0,1,3,24,Revolutionary Armed Forces of Colombia (FARC),0.0,0,4,2.0,1.0,0.0,0,0.0,0.0,0,0,0,1981-02-15,183,6017,12,73,9005
198102150003,0,45,3,233,7.98092,-75.41919,1.0,0,0.0,0.0,1,0,1,3,24,Revolutionary Armed Forces of Colombia (FARC),0.0,0,4,2.0,3.0,0.0,0,0.0,0.0,0,0,0,1981-02-15,184,4425,12,73,8796
198102150007,0,43,3,936,-33.010693,-71.527794,1.0,0,0.0,0.0,1,0,2,1,22,Movement of the Revolutionary Left (MIR) (Chile),1.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-15,185,6983,2,29,8462
198102150008,0,43,3,936,-33.010693,-71.527794,1.0,0,0.0,0.0,1,0,2,8,22,Movement of the Revolutionary Left (MIR) (Chile),1.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-15,186,6983,3,92,3870
198102150009,0,97,10,199,31.970541,34.791725,1.0,0,1.0,0.0,1,0,2,4,63,Palestinians,0.0,0,2,16.0,0.0,0.0,1,0.0,0.0,1,0,0,1981-02-15,187,5591,9,49,7407
198102160002,0,69,8,707,48.856644,2.34233,1.0,0,0.0,0.0,1,0,2,2,42,Corsican National Liberation Front (FLNC),0.0,0,2,16.0,0.0,3.0,1,0.0,0.0,1,0,0,1981-02-16,188,5026,6,25,3672
198102170004,0,45,3,134,4.667128,-74.106056,1.0,0,0.0,0.0,1,0,2,15,24,M-19 (Movement of April 19),1.0,0,2,16.0,0.0,0.0,1,0.0,0.0,0,0,0,1981-02-17,191,848,14,69,9354
