eventid,extended,enc_country,enc_region,enc_province,latitude,longitude,specificity,vicinity,doubtterr,multiple,success,suicide,enc_attacktype,enc_target,entity,enc_nationality,enc_group,motive,guncertain1,individual,nperpcap,claimed,enc_weapon_type,enc_weapon_subtype,killed,nkillus,nkillter,wounded,nwoundus,nwoundte,property,hostages/kidnapping,cross_border,ideological_international,INT_MISC,attack_date,unique_id,enc_city,enc_target_type,enc_target_subtype,enc_target_entity
199601160007,0,155,10,1014,31.530243,35.094162,1.0,0,0.0,0.0,1,0,0,14,,71,Hamas (Islamic Resistance Movement),,1.0,0,,,4,5.0,2.0,,,0.0,,,1,0.0,0,0,0,1996-01-16,99,2251,13,105,11236
199601160008,0,209,10,870,37.522653,42.452637,1.0,0,0.0,0.0,1,0,2,3,,149,Kurdistan Workers' Party (PKK),,0.0,0,,,2,11.0,11.0,,,0.0,,,1,0.0,0,0,0,1996-01-16,100,5155,12,74,6687
199601160013,1,209,10,968,41.002697,39.716763,1.0,0,0.0,0.0,1,0,4,20,Ferry,120,Chechen Rebels,The group was protesting the on going assault on the Russian town of Pervomayskaya.  They demanded that the Russian government stop shelling the town.,0.0,0,9.0,1.0,4,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,1,1,1,1996-01-16,103,5597,19,-1,4811
199601170009,0,45,3,979,,,5.0,0,0.0,0.0,1,0,2,21,Ecopetrol,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-01-17,105,5670,20,62,3171
199601200008,0,160,5,1043,7.751209,123.148704,1.0,0,0.0,0.0,1,0,0,14,unknown,113,Abu Sayyaf Group (ASG),,0.0,0,,,4,5.0,2.0,,,3.0,,,1,0.0,0,0,0,1996-01-20,107,2968,13,106,10680
199601220003,0,186,6,700,7.883333,80.4,2.0,0,0.0,0.0,1,0,2,14,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,11.0,22.0,,,10.0,,,1,0.0,0,0,0,1996-01-22,110,3950,13,106,11273
199601220006,0,45,3,209,4.995278,-75.812778,1.0,0,0.0,0.0,1,0,2,3,government,29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,2,7.0,1.0,,,1.0,,,1,0.0,0,0,0,1996-01-22,111,689,12,71,11634
199601230002,0,186,6,684,8.899722,80.833889,1.0,0,0.0,0.0,1,0,1,14,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,1.0,,,1.0,,,0,0.0,0,0,0,1996-01-23,112,2451,13,104,11297
199601250003,0,186,6,319,7.301756,81.67473,3.0,0,0.0,0.0,1,0,0,3,Govt,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,4.0,,,0.0,,,1,0.0,0,0,0,1996-01-25,116,236,12,73,7576
199601270003,0,185,8,663,43.266524,-1.503896,1.0,0,0.0,0.0,0,0,2,3,unk,133,Basque Fatherland and Freedom (ETA),,0.0,0,,,2,7.0,0.0,,,0.0,,,1,0.0,0,1,0,1996-01-27,118,5675,12,74,7467
199601280001,0,155,10,1014,31.995965,35.27111,4.0,0,0.0,0.0,0,0,2,20,,71,Hamas (Islamic Resistance Movement),,1.0,0,,,2,16.0,1.0,,1.0,0.0,,,1,0.0,0,0,0,1996-01-28,121,5670,19,-1,11192
199601290007,0,186,6,319,9.478056,80.011389,1.0,0,0.0,0.0,1,0,1,14,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,1.0,,,0.0,,,0,0.0,0,0,0,1996-01-29,122,4174,13,59,6887
199601300003,0,186,6,319,7.529372,81.794609,1.0,0,0.0,0.0,0,0,2,20,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-01-30,125,2548,19,-1,11193
199601300004,0,186,6,319,7.414383,81.830633,1.0,0,0.0,0.0,1,0,2,20,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,16.0,1.0,,,0.0,,,1,0.0,0,0,0,1996-01-30,126,2562,19,-1,11083
199601310002,0,186,6,1021,6.941837,79.861687,1.0,0,0.0,0.0,1,1,2,1,Central Bank,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,15.0,90.0,,,1272.0,,,1,0.0,0,0,0,1996-01-31,130,1385,2,6,2847
199602060002,0,185,8,124,43.291618,-1.977903,1.0,0,0.0,0.0,1,0,1,1,unk,133,Basque Fatherland and Freedom (ETA),,0.0,0,,,4,5.0,1.0,,,0.0,,,0,0.0,0,1,0,1996-02-06,135,1669,2,41,7942
199602070011,0,45,3,57,6.48927,-74.40176,3.0,0,0.0,0.0,1,0,2,21,Ecopetrol,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-02-07,141,4415,20,62,4177
199602100001,0,110,10,47,33.176111,35.443333,1.0,0,1.0,0.0,1,0,2,17,,84,Hezbollah,,0.0,0,,,2,16.0,0.0,,,1.0,,,1,0.0,0,1,0,1996-02-10,145,968,16,61,8380
199602100002,0,155,10,354,31.356553,34.326901,4.0,0,0.0,0.0,1,0,1,3,,157,Hamas (Islamic Resistance Movement),,0.0,0,,,4,5.0,1.0,,,0.0,,,0,0.0,0,0,0,1996-02-10,146,5670,12,4,7627
199602110003,0,186,6,705,8.349393,81.285949,1.0,0,1.0,0.0,1,0,0,4,Govt,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,3.0,,,0.0,,,1,0.0,0,0,0,1996-02-11,149,2825,9,52,2642
199602140005,0,185,8,573,40.465595,-3.696263,1.0,0,0.0,0.0,1,0,1,2,unk,133,Basque Fatherland and Freedom (ETA),,0.0,0,,,4,5.0,1.0,,,0.0,,,0,0.0,0,1,0,1996-02-14,153,3304,6,38,11542
199602140006,0,213,11,705,2.535438,31.840604,1.0,0,0.0,0.0,1,0,0,14,,150,Lord's Resistance Army (LRA),,0.0,0,,,4,5.0,12.0,,0.0,0.0,,0.0,1,0.0,0,0,0,1996-02-14,154,4452,13,106,11273
199602140022,0,45,3,57,7.75809,-76.65758,1.0,0,0.0,0.0,1,0,0,2,"Hope, Peace, and Liberty Party",29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,4,5.0,11.0,,,1.0,,,0,0.0,0,0,0,1996-02-14,168,1139,6,76,11582
199602160005,0,45,3,57,6.48927,-74.40176,3.0,0,0.0,0.0,1,0,2,21,Ecopetrol,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-02-16,171,4415,20,62,4238
199602170002,0,185,8,527,42.465776,-2.449995,1.0,0,0.0,0.0,1,0,0,14,,133,Basque Fatherland and Freedom (ETA),,0.0,0,,,5,,0.0,,,0.0,,,1,0.0,0,1,0,1996-02-17,175,3207,13,80,3406
199602180006,0,45,3,57,6.2675,-75.568611,4.0,0,0.0,0.0,1,0,2,21,Ecopetrol,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-02-18,177,5670,20,62,3175
199602200001,0,110,10,47,33.214611,35.461758,1.0,0,0.0,0.0,0,1,2,20,,71,Hezbollah,,0.0,0,,,2,13.0,1.0,,,0.0,,,1,0.0,0,1,1,1996-02-20,181,3349,19,-1,11192
199602220005,0,185,8,124,43.258434,-2.921819,1.0,0,0.0,0.0,0,0,2,2,,133,Basque Fatherland and Freedom (ETA),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,1,0,1996-02-22,182,834,6,27,7851
199602250001,0,45,3,57,6.2675,-75.568611,4.0,0,0.0,0.0,1,0,2,21,Ecopetrol,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-02-25,187,5670,20,62,4177
199602250005,0,97,10,447,31.771599,35.2034,1.0,0,0.0,0.0,1,1,2,19,,71,Hamas (Islamic Resistance Movement),,0.0,0,,,2,13.0,26.0,3.0,,50.0,3.0,,1,0.0,1,0,0,1996-02-25,188,2462,18,8,3069
199602250006,0,97,10,902,31.670149,34.575153,1.0,0,0.0,0.0,1,1,2,19,,71,Hamas (Islamic Resistance Movement),,0.0,0,,,2,15.0,2.0,,,34.0,,,1,0.0,1,0,0,1996-02-25,189,343,18,9,3101
199602260006,0,186,6,319,8.577826,81.218719,1.0,0,0.0,0.0,1,0,2,3,Govt,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,16.0,0.0,,,1.0,,,1,0.0,0,0,0,1996-02-26,190,5603,12,72,7588
199602270001,0,110,10,47,33.139179,35.400552,1.0,0,1.0,0.0,1,0,2,17,,84,Hezbollah,,0.0,0,,,2,16.0,1.0,,,2.0,,,1,0.0,0,1,0,1996-02-27,193,5340,16,61,8378
199603010004,0,186,6,705,7.115312,81.852488,1.0,0,0.0,0.0,1,0,1,14,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,1.0,,,0.0,,,0,0.0,0,0,0,1996-03-01,200,5487,13,-1,3433
199603030007,0,97,10,447,31.771599,35.2034,1.0,0,0.0,0.0,1,1,2,19,,71,Hamas (Islamic Resistance Movement),,0.0,0,,,2,13.0,20.0,,,9.0,,,1,0.0,1,0,0,1996-03-03,205,2462,18,8,3069
199603040001,0,110,10,979,,,5.0,0,1.0,0.0,1,0,2,4,,71,Hezbollah,,0.0,0,,,2,16.0,4.0,,,9.0,,,1,0.0,0,1,1,1996-03-04,206,2286,9,49,5762
199603040004,0,185,8,979,,,5.0,0,0.0,0.0,1,0,2,3,,133,Basque Fatherland and Freedom (ETA),,1.0,0,,,2,15.0,1.0,,,0.0,,,1,0.0,0,1,0,1996-03-04,207,5608,12,74,7632
199603040010,0,97,10,942,32.08297,34.811886,1.0,0,0.0,0.0,1,1,2,14,,71,Hamas (Islamic Resistance Movement),,0.0,0,,,2,13.0,13.0,,,105.0,,,1,0.0,1,0,0,1996-03-04,211,5438,13,42,8670
199603050001,0,160,5,231,10.728829,123.82764,1.0,0,0.0,0.0,1,0,0,2,Gov't,113,Moro Islamic Liberation Front (MILF),,0.0,0,,,4,5.0,3.0,,,,,,1,0.0,0,0,0,1996-03-05,212,5615,6,28,8935
199603050002,0,186,6,1021,6.941837,79.861687,1.0,0,0.0,0.0,0,0,2,20,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,1.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-03-05,213,1385,19,-1,11193
199603050003,0,186,6,705,8.964041,80.787941,1.0,0,0.0,0.0,0,0,2,3,Police,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,11.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-03-05,214,5827,12,71,7550
199603080003,0,209,10,581,38.785071,38.264456,1.0,0,1.0,0.0,1,0,0,4,,149,Kurdistan Workers' Party (PKK),,0.0,0,,,4,5.0,2.0,,,0.0,,,1,0.0,0,0,0,1996-03-08,220,314,9,52,6607
199603080004,0,213,11,705,2.878003,32.718138,2.0,0,0.0,0.0,1,0,0,14,,150,Lord's Resistance Army (LRA),,0.0,0,,,4,5.0,28.0,,,0.0,,,1,0.0,0,0,0,1996-03-08,221,391,13,106,11329
199603090002,0,213,11,705,2.878003,32.718138,4.0,1,0.0,0.0,1,0,0,19,,150,Lord's Resistance Army (LRA),,0.0,0,,,4,5.0,0.0,,,15.0,,,1,0.0,0,0,0,1996-03-09,222,5670,18,8,3071
199603100004,0,160,5,1043,6.929089,122.07885,1.0,0,0.0,0.0,1,0,2,15,Catholic Church,113,Abu Sayyaf Group (ASG),,1.0,0,,,2,16.0,,,,,,,1,0.0,0,0,0,1996-03-10,232,5915,14,70,8928
199603100005,0,160,5,1043,6.929089,122.07885,1.0,0,0.0,0.0,1,0,2,15,Catholic Church,113,Abu Sayyaf Group (ASG),,1.0,0,,,5,19.0,,,,3.0,,,1,0.0,0,0,0,1996-03-10,233,5915,14,70,4142
199603100006,0,160,5,123,6.700414,121.972557,1.0,0,0.0,0.0,1,0,2,14,unknown,113,Abu Sayyaf Group (ASG),,1.0,0,,,2,16.0,,,,,,,1,0.0,0,0,0,1996-03-10,234,2363,13,42,2962
199603100008,0,213,11,1021,2.245546,32.246325,1.0,0,0.0,0.0,1,0,0,14,,150,Lord's Resistance Army (LRA),,0.0,0,,,4,5.0,21.0,,,0.0,,,1,0.0,0,0,0,1996-03-10,235,2647,13,105,11237
199603110001,0,160,5,1043,6.929089,122.07885,1.0,0,0.0,0.0,0,0,2,1,unknown,113,Abu Sayyaf Group (ASG),,1.0,0,,,2,7.0,,,,,,,1,0.0,0,0,0,1996-03-11,236,5915,2,91,11720
199603130004,0,160,5,1043,6.929089,122.07885,1.0,0,0.0,0.0,1,0,2,1,unknown,113,Abu Sayyaf Group (ASG),,1.0,0,,,2,16.0,,,,20.0,,,1,0.0,0,0,0,1996-03-13,244,5915,2,20,11721
199603130005,0,213,11,1021,2.245546,32.246325,1.0,0,0.0,0.0,1,0,0,19,,150,Lord's Resistance Army (LRA),,0.0,0,,,4,5.0,24.0,,,0.0,,,1,0.0,0,0,0,1996-03-13,245,2647,18,8,3069
199603130008,0,45,3,911,9.54637,-75.31266,1.0,0,0.0,0.0,1,0,2,3,police,29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,4,2.0,11.0,,,0.0,,,1,0.0,0,0,0,1996-03-13,246,1208,12,71,11634
199603130009,0,45,3,840,7.060051,-73.853115,1.0,0,0.0,0.0,1,0,1,3,police,29,Revolutionary Armed Forces of Colombia (FARC),,1.0,0,,,4,5.0,1.0,,,0.0,,,0,0.0,0,0,0,1996-03-13,247,617,12,74,8124
199603140004,0,160,5,1043,6.929089,122.07885,1.0,0,0.0,0.0,1,0,2,8,unknown,113,Abu Sayyaf Group (ASG),,1.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-03-14,248,5915,3,92,11603
199603180002,0,186,6,705,9.762422,80.028899,1.0,0,1.0,0.0,1,0,2,4,Army,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,8.0,18.0,,,17.0,,,1,0.0,0,0,0,1996-03-18,254,3389,9,51,10700
199603180003,0,186,6,319,7.707372,81.715749,1.0,0,0.0,0.0,0,0,1,2,Govt,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,0.0,,,1.0,,,0,0.0,0,0,0,1996-03-18,255,2561,6,76,2891
199603190001,0,213,11,705,2.997038,32.143426,1.0,0,0.0,0.0,1,0,0,14,,150,Lord's Resistance Army (LRA),,0.0,0,,,4,5.0,34.0,,,0.0,,,1,0.0,0,0,0,1996-03-19,257,4139,13,106,11273
199603190004,0,19,6,294,23.791275,90.418205,1.0,0,0.0,0.0,1,0,0,22,Awami League,12,Gunmen,,0.0,0,,,4,5.0,0.0,,,0.0,,,1,0.0,-9,-9,0,1996-03-19,259,1551,21,68,6226
199603210001,0,97,10,705,33.277232,35.578235,1.0,0,1.0,0.0,1,1,2,4,,71,Hezbollah,,0.0,0,,,2,13.0,2.0,,,1.0,,,1,0.0,1,1,0,1996-03-21,265,3599,9,52,5776
199603210008,0,185,8,573,40.465595,-3.696263,1.0,0,0.0,0.0,0,0,2,1,,51,Basque Fatherland and Freedom (ETA),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,1,1,1996-03-21,266,3304,2,91,4972
199603230003,0,186,6,319,7.733107,81.68882,1.0,1,0.0,0.0,1,0,0,14,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,1.0,,,2.0,,,1,0.0,0,0,0,1996-03-23,269,655,13,88,3098
199603230004,0,186,6,687,7.775413,81.606247,1.0,0,0.0,0.0,0,0,0,3,Police,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,3.0,,,15.0,,,1,0.0,0,0,0,1996-03-23,270,1832,12,74,7466
199603240002,0,185,8,663,42.825997,-1.615548,1.0,0,0.0,0.0,1,0,3,1,,133,Basque Fatherland and Freedom (ETA),,1.0,0,,,5,,0.0,,,0.0,,,1,0.0,0,1,0,1996-03-24,272,1044,2,91,3195
199603250001,0,186,6,319,7.219392,81.849757,1.0,0,0.0,0.0,1,0,2,16,Telephone Utility,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-03-25,274,128,15,97,9130
199603260002,0,69,8,62,43.399777,-1.107896,1.0,0,0.0,0.0,1,0,2,3,,133,Basque Fatherland and Freedom (ETA),,1.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,1,1,1996-03-26,275,324,12,71,7506
199603300001,0,186,6,319,9.575,80.466111,1.0,1,1.0,0.0,1,1,2,4,Navy,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,15.0,12.0,,,0.0,,,1,0.0,0,0,0,1996-03-30,281,5741,9,48,6959
199603300004,0,45,3,166,8.670438,-74.030012,4.0,0,0.0,0.0,1,0,6,14,U/I Italian Company,72,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,4,5.0,0.0,,,6.0,,,0,1.0,0,1,1,1996-03-30,282,5670,13,40,5924
199604010004,0,186,6,700,7.87777,80.011116,1.0,0,0.0,0.0,1,0,0,22,United National Party (UNP),134,Gunmen,,0.0,0,,,4,5.0,0.0,,,14.0,,,1,0.0,-9,-9,0,1996-04-01,283,241,21,86,4143
199604050002,0,186,6,705,8.964041,80.787941,1.0,0,0.0,1.0,1,0,0,14,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,1.0,,,1.0,,,1,0.0,0,0,0,1996-04-05,294,5827,13,104,11298
199604050003,0,186,6,705,8.964041,80.787941,1.0,0,0.0,1.0,1,0,0,14,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,1.0,,,1.0,,,1,0.0,0,0,0,1996-04-05,295,5827,13,104,11298
199604060002,0,213,11,1021,2.256517,32.241282,1.0,0,1.0,0.0,1,0,0,4,,150,Lord's Resistance Army (LRA),,0.0,0,,,4,5.0,4.0,,,3.0,,,1,0.0,0,0,0,1996-04-06,297,2647,9,52,6602
199604070002,0,160,5,916,6.088221,121.109329,1.0,0,1.0,0.0,1,0,0,4,Military,113,Abu Sayyaf Group (ASG),,0.0,0,,,4,5.0,4.0,,,,,,1,0.0,0,0,0,1996-04-07,298,4256,9,52,6602
199604080003,0,186,6,319,7.716666,81.700188,3.0,0,0.0,0.0,1,0,0,19,U/I Bus Company,-1,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,0.0,,,0.0,,,1,0.0,0,-9,-9,1996-04-08,301,656,18,8,3070
199604090029,0,97,10,705,32.9,35.33333,3.0,0,0.0,0.0,1,0,2,14,,71,Hezbollah,,0.0,0,,,2,11.0,0.0,,,6.0,,,1,0.0,1,1,0,1996-04-09,321,1929,13,106,11696
199604110004,0,45,3,979,,,5.0,0,0.0,1.0,1,0,2,21,Ecopetrol,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-04-11,324,5956,20,62,3176
199604110005,0,45,3,979,,,5.0,0,0.0,1.0,1,0,2,21,Ecopetrol,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-04-11,325,5956,20,62,3176
199604120002,0,186,6,1021,6.941837,79.861687,1.0,0,0.0,0.0,0,0,2,11,Unknown,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,8.0,10.0,,10.0,1.0,,,1,0.0,0,0,0,1996-04-12,327,1385,8,-1,4228
199604160006,0,45,3,661,1.637898,-77.745208,1.0,0,1.0,0.0,1,0,2,4,Army,29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,2,16.0,31.0,,,18.0,,,1,0.0,0,0,0,1996-04-16,341,5670,9,52,8703
199604180008,0,97,10,705,33.208716,35.572618,1.0,0,0.0,0.0,1,0,2,14,,71,Hezbollah,,0.0,0,,,2,11.0,1.0,,,0.0,,,1,0.0,1,1,0,1996-04-18,349,4494,13,106,11696
199604220006,0,186,6,319,8.324973,81.30074,1.0,0,0.0,0.0,1,0,0,3,Police,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,7.0,,,15.0,,,1,0.0,0,0,0,1996-04-22,354,4974,12,71,7539
199604220008,0,209,10,464,38.059832,37.188274,1.0,0,0.0,0.0,1,0,0,8,,149,Kurdistan Workers' Party (PKK),,0.0,0,,,4,5.0,3.0,,,0.0,,,1,0.0,0,0,0,1996-04-22,355,1753,3,92,8455
199604230004,0,45,3,185,5.19688,-73.14554,1.0,0,0.0,0.0,1,0,2,14,unk,29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,2,8.0,2.0,,,0.0,,,1,0.0,0,0,0,1996-04-23,360,3635,13,104,11718
199604250005,0,45,3,220,1.3325,-75.97608,1.0,0,0.0,0.0,1,0,2,3,Police,29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,2,11.0,5.0,,,3.0,,,1,0.0,0,0,0,1996-04-25,364,4800,12,74,7602
199604270003,0,45,3,57,7.882318,-76.630626,1.0,0,0.0,0.0,0,0,1,2,EPL party,29,Revolutionary Armed Forces of Colombia (FARC),,1.0,0,,,2,7.0,1.0,,,9.0,,,0,0.0,0,0,0,1996-04-27,366,283,6,76,4560
199604290008,0,45,3,840,7.116294,-73.120026,1.0,0,0.0,0.0,1,0,2,19,unk,29,National Liberation Army of Colombia (ELN),,0.0,0,,,2,16.0,0.0,,,1.0,,,1,0.0,0,0,0,1996-04-29,372,992,18,7,2760
199604300003,0,45,3,840,6.88105,-73.41157,1.0,0,0.0,0.0,0,0,1,14,Military,29,National Liberation Army of Colombia (ELN),,0.0,0,,,4,5.0,2.0,,,0.0,,,0,0.0,0,0,0,1996-04-30,375,4837,13,4,9036
199605030002,0,186,6,684,7.995,80.460833,2.0,0,0.0,0.0,1,0,2,21,Ceylon Electricity Board,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,16.0,0.0,,,0.0,,,1,0.0,0,0,0,1996-05-03,380,1933,20,18,7863
199605030003,0,186,6,319,7.733107,81.68882,1.0,0,1.0,0.0,1,0,2,4,Govt,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,16.0,5.0,,,4.0,,,1,0.0,0,0,0,1996-05-03,381,655,9,52,6631
199605040006,0,45,3,57,8.136754,-76.550495,1.0,0,0.0,0.0,1,0,0,2,Govt,29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,4,5.0,7.0,,,0.0,,,1,0.0,0,0,0,1996-05-04,384,204,6,28,11192
199605040007,0,45,3,57,6.828333,-75.513056,2.0,0,0.0,0.0,1,0,0,14,Govt,29,Revolutionary Armed Forces of Colombia (FARC),,0.0,0,,,4,5.0,9.0,,,1.0,,,1,0.0,0,0,0,1996-05-04,385,5673,13,106,10680
199605060002,0,186,6,979,,,5.0,0,1.0,0.0,1,0,2,4,Govt,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,2,11.0,1.0,,,2.0,,,1,0.0,0,0,0,1996-05-06,387,3804,9,51,2674
199605060003,0,186,6,979,,,5.0,0,1.0,0.0,1,0,0,4,Govt,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,30.0,,,32.0,,,1,0.0,0,0,0,1996-05-06,388,3804,9,52,2669
199605060009,0,92,6,78,26.200605,92.937574,4.0,0,0.0,0.0,1,0,1,2,Government,65,United Liberation Front of Assam (ULFA),,0.0,0,,,4,5.0,10.0,,,0.0,,,1,0.0,0,0,0,1996-05-06,389,5670,6,28,6692
199605090001,0,110,10,891,33.474535,35.359255,4.0,0,1.0,0.0,1,0,2,17,,84,Hezbollah,,0.0,0,,,2,16.0,0.0,,,2.0,,,1,0.0,0,1,0,1996-05-09,391,5670,16,61,8378
199605110003,0,186,6,319,7.821533,81.550106,1.0,1,1.0,0.0,1,0,0,4,Govt,134,Liberation Tigers of Tamil Eelam (LTTE),,0.0,0,,,4,5.0,23.0,,,13.0,,,1,0.0,0,0,0,1996-05-11,395,5165,9,52,2668
199605120002,0,185,8,124,43.258434,-2.921819,1.0,0,1.0,0.0,0,0,2,4,,133,Basque Fatherland and Freedom (ETA),,0.0,0,,,2,7.0,0.0,,,0.0,,,1,0.0,0,1,0,1996-05-12,397,834,9,46,7100
